perfluorohexanoic acid	C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O	emerging_perfluoroalkyls	environmental_chemistry	global_chem.environment.emerging_perfluoroalkyls
perfluoroheptanoic acid	C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O	emerging_perfluoroalkyls	environmental_chemistry	global_chem.environment.emerging_perfluoroalkyls
perfluorononanoic acid	C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O	emerging_perfluoroalkyls	environmental_chemistry	global_chem.environment.emerging_perfluoroalkyls
perfluorodecanoic acid	C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O	emerging_perfluoroalkyls	environmental_chemistry	global_chem.environment.emerging_perfluoroalkyls
perfluorobutanesulfonic acid	C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F	emerging_perfluoroalkyls	environmental_chemistry	global_chem.environment.emerging_perfluoroalkyls
perfluorohexanesulfonic acid	C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F	emerging_perfluoroalkyls	environmental_chemistry	global_chem.environment.emerging_perfluoroalkyls
perfluoroundecanoic acid	C(=O)(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O	emerging_perfluoroalkyls	environmental_chemistry	global_chem.environment.emerging_perfluoroalkyls
2-(N-ethyl-perfluorooctane sulfanamido) acetic acid	CCN(CC(=O)O)S(=O)(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F	emerging_perfluoroalkyls	environmental_chemistry	global_chem.environment.emerging_perfluoroalkyls
2-(N-Methyl-perfluorooctane sulfanamido) acetic acid	CN(CC(=O)O)S(=O)(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F	emerging_perfluoroalkyls	environmental_chemistry	global_chem.environment.emerging_perfluoroalkyls
hexafluoropropylene Oxide Dimer Acid	C1(C(O1)(F)F)(C(F)(F)F)F	emerging_perfluoroalkyls	environmental_chemistry	global_chem.environment.emerging_perfluoroalkyls
perfluorotetradecanoic acid	C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O	emerging_perfluoroalkyls	environmental_chemistry	global_chem.environment.emerging_perfluoroalkyls
perfluorotridecanoic acid	C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O	emerging_perfluoroalkyls	environmental_chemistry	global_chem.environment.emerging_perfluoroalkyls
